Date,Open,High,Low,Close,Volume,Adj Close
2016-11-14,10660.450195,10695.570312,10633.980469,10679.769531,5367200000,10679.769531
2016-11-15,10680.419922,10745.530273,10664.849609,10745.509766,4543860000,10745.509766
2016-11-16,10705.469727,10719.889648,10677.269531,10699.429688,3830590000,10699.429688
2016-11-17,10717.879883,10759.150391,10717.679688,10740.080078,3809160000,10740.080078
2016-11-18,10725.339844,10735.089844,10695.219727,10709.509766,3572400000,10709.509766
