Date,SPX,NWL,MSFT,SPX Rtn,NWL Rtn,MSFT Rtn
5/21/01,1277.89,92.76,30.31,-0.01089043,-0.00472103,0.041580756
5/29/01,1260.67,90.71,30.06,-0.013475338,-0.022100043,-0.008248103
6/4/01,1264.96,94.7,31.28,0.003402952,0.04398633,0.040585496
6/11/01,1214.36,95.7,29.07,-0.040001265,0.010559662,-0.070652174
6/18/01,1225.35,94.7,29.42,0.009050035,-0.010449321,0.012039904
6/25/01,1224.38,108.65,31.2,-0.000791611,0.147307286,0.060503059
7/2/01,1190.59,106.41,28.23,-0.027597641,-0.020616659,-0.095192308
7/9/01,1215.68,109.65,30.49,0.021073585,0.030448266,0.080056677
7/16/01,1210.85,114.13,29.57,-0.003973085,0.040857273,-0.030173827
7/23/01,1205.82,113.14,27.98,-0.004154107,-0.008674319,-0.053770714
7/30/01,1214.35,113.09,28.59,0.007074024,-0.00044193,0.021801287
8/6/01,1190.16,116.31,28,-0.019920122,0.028472898,-0.020636586
8/13/01,1161.97,112.47,26.45,-0.023685891,-0.033015218,-0.055357143
8/20/01,1184.93,113.83,26.52,0.019759546,0.012092113,0.002646503
8/27/01,1133.58,114.65,24.38,-0.043335893,0.007203725,-0.080693816
9/4/01,1085.78,111.48,23.68,-0.042167293,-0.027649368,-0.028712059
9/10/01,965.8,96.72,21.25,-0.110501207,-0.132400431,-0.102618243
9/24/01,1040.94,100.78,21.87,0.077800787,0.04197684,0.029176471
10/1/01,1071.38,105.15,24.67,0.0292428,0.043361778,0.128029264
10/8/01,1091.65,105.89,24.1,0.018919524,0.007037565,-0.023104986
10/15/01,1073.48,102.92,24.75,-0.016644529,-0.028047974,0.026970954
10/22/01,1104.61,109.57,26.58,0.028999143,0.064613292,0.073939394
10/29/01,1087.2,106.89,26.24,-0.015761219,-0.02445925,-0.012791573
11/5/01,1120.31,110.48,27.87,0.030454378,0.033585929,0.062118902
11/12/01,1138.65,113.23,28.1,0.016370469,0.024891383,0.008252601
11/19/01,1150.34,107.69,27.66,0.010266544,-0.048926963,-0.015658363
11/26/01,1139.45,109.95,27.44,-0.009466766,0.020986164,-0.007953724
12/3/01,1158.31,106.66,28.99,0.016551845,-0.029922692,0.05648688
12/10/01,1123.09,101.68,28.82,-0.030406368,-0.046690418,-0.005864091
12/17/01,1144.89,109.65,28.87,0.019410733,0.078383163,0.001734906
12/24/01,1161.02,110.13,29.01,0.01408869,0.004377565,0.004849325
12/31/01,1172.51,110.15,29.45,0.00989647,0.000181604,0.015167184
1/7/02,1145.6,107.86,29.32,-0.022950764,-0.020789832,-0.004414261
1/14/02,1127.58,107.54,28.25,-0.015729749,-0.002966809,-0.036493861
1/22/02,1133.28,106.19,27.27,0.005055074,-0.012553468,-0.034690265
1/28/02,1122.2,104.87,26.78,-0.009776931,-0.012430549,-0.017968464
2/4/02,1096.22,104.57,25.92,-0.023150953,-0.002860685,-0.032113518
2/11/02,1104.18,105.22,25.74,0.007261316,0.006215932,-0.006944444
2/19/02,1089.84,104.67,24.78,-0.012987013,-0.005227143,-0.037296037
2/25/02,1131.78,105.65,26.23,0.038482713,0.009362759,0.058514931
3/4/02,1164.31,106.06,27.33,0.028742335,0.003880738,0.041936714
3/11/02,1166.16,113.24,26.71,0.001588924,0.06769753,-0.022685693
3/18/02,1148.7,114.63,25.84,-0.014972217,0.012274815,-0.03257207
3/25/02,1147.39,113.89,25.78,-0.00114042,-0.006455553,-0.002321981
4/1/02,1122.73,112.39,23.88,-0.021492256,-0.013170603,-0.073700543
4/8/02,1111.01,113.99,23.9,-0.010438841,0.014236142,0.000837521
4/15/02,1125.17,118.37,24.45,0.01274516,0.038424423,0.023012552
4/22/02,1076.32,116.66,22.01,-0.043415662,-0.014446228,-0.099795501
4/29/02,1073.43,121.06,21.18,-0.002685075,0.037716441,-0.037710132
5/6/02,1054.99,120.37,21.39,-0.017178577,-0.005699653,0.009915014
5/13/02,1106.59,120.73,23.95,0.048910416,0.002990778,0.119682094
5/20/02,1083.82,113.39,22.76,-0.020576727,-0.060796819,-0.049686848
5/28/02,1067.14,110.4,21.76,-0.015390009,-0.026369168,-0.043936731
6/3/02,1027.53,106.77,22.22,-0.037117904,-0.032880435,0.021139706
6/10/02,1007.27,112.65,23.61,-0.019717186,0.055071649,0.062556256
6/17/02,989.14,109.15,22.34,-0.017999146,-0.031069685,-0.053790767
6/24/02,989.82,114.59,23.38,0.000687466,0.04983967,0.046553268
7/1/02,989.03,115.13,23.44,-0.000798125,0.004712453,0.002566296
7/8/02,921.39,114.64,22.16,-0.068390241,-0.004256058,-0.054607509
7/15/02,847.75,109.66,21.18,-0.079922725,-0.043440335,-0.044223827
7/22/02,852.84,108.63,19.38,0.006004129,-0.009392668,-0.084985836
7/29/02,864.24,107.46,18.98,0.013367103,-0.010770505,-0.020639835
8/5/02,908.64,104.17,20.57,0.051374618,-0.030616043,0.083772392
8/12/02,928.77,103.79,21.37,0.022153988,-0.003647883,0.03889159
8/19/02,940.86,104.17,22.32,0.013017216,0.003661239,0.044454843
8/26/02,916.07,104.8,20.98,-0.026348235,0.006047806,-0.060035842
9/3/02,893.92,103.49,20.44,-0.024179375,-0.0125,-0.025738799
9/9/02,889.81,102.67,20.48,-0.004597727,-0.007923471,0.001956947
9/16/02,845.39,102.92,20.28,-0.04992077,0.002434986,-0.009765625
9/23/02,827.37,100.73,19.34,-0.021315606,-0.021278663,-0.046351085
9/30/02,800.58,99.04,18.71,-0.032379709,-0.016777524,-0.032574974
10/7/02,835.32,92.96,20.89,0.04339354,-0.061389338,0.116515232
10/14/02,884.39,94.68,22.72,0.058743954,0.018502582,0.087601723
10/21/02,897.65,93.7,22.52,0.014993385,-0.010350655,-0.008802817
10/28/02,900.96,92.81,22.65,0.003687406,-0.009498399,0.005772647
11/4/02,894.74,100.58,23.55,-0.006903747,0.083719427,0.039735099
11/11/02,909.83,94.15,24.23,0.016865235,-0.063929211,0.028874735
11/18/02,930.55,90.43,24.88,0.022773485,-0.039511418,0.026826248
11/25/02,936.31,88.46,24.65,0.006189888,-0.021784806,-0.009244373
12/2/02,912.23,85.73,23.71,-0.025717978,-0.030861406,-0.038133874
12/9/02,889.48,86.13,22.44,-0.024938886,0.004665811,-0.053563897
12/16/02,895.76,91.46,22.67,0.007060305,0.0618832,0.010249554
12/23/02,875.4,94.63,22.64,-0.022729302,0.034659961,-0.001323335
12/30/02,908.59,94.14,22.99,0.037914096,-0.005178062,0.015459364
1/6/03,927.57,96.49,23.9,0.02088951,0.024962821,0.039582427
1/13/03,901.78,97.05,21.99,-0.027803832,0.00580371,-0.079916318
1/21/03,861.4,97.84,21.31,-0.044778106,0.008140134,-0.030923147
1/27/03,855.7,99.84,20.28,-0.006617135,0.020441537,-0.048334115
2/3/03,829.69,99.74,19.91,-0.030396167,-0.001001603,-0.018244576
2/10/03,834.89,99.2,20.64,0.006267401,-0.005414077,0.036664992
2/18/03,848.17,100.94,21.12,0.015906287,0.017540323,0.023255814
2/24/03,841.15,100.69,20.32,-0.008276643,-0.002476719,-0.037878788
3/3/03,828.89,100,20.2,-0.014575284,-0.006852716,-0.005905512
